id	kanji	kana	meaning	japanese	korean	english	flags
JLPT-한끝-N4-335	台風	たいふう	태풍	今日の新聞によると、また台風がやってくるそうだ。	오늘 신문에 의하면 또 태풍이 온다고 한다.	Today's paper says that another typhoon is on its way.	
JLPT-한끝-N4-366	貯金	ちょきん	저금	ジュリー、衣服に金を浪費しないで、貯金をしなさい。	줄리, 옷에 돈을 낭비하지 말고 저금을 하세요.	Don't waste money on clothes, Julie. Save money!	
JLPT-한끝-N4-397	途中	とちゅう	도중	いったん物事を始めた以上、途中で放棄してはいけない。	일단 일을 시작한 이상 도중에 포기해서는 안 된다.	Once you have begun to do something, never give it up.	
JLPT-한끝-N4-428	寝坊	ねぼう	늦잠	寝坊は遅刻のいいわけにはならないと言うことを覚えておきなさい。	늦잠은 지각의 변명이 될 수 없다는 것을 명심하세요.	Remember that oversleeping is no excuse for being late.	
JLPT-한끝-N4-459	バレーボール	バレーボール	배구	背が低いことはバレーボールの選手にとって不利である。	키가 작은 것은 배구 선수에게 불리하다.	Being short is a disadvantage to a volleyball player.	
JLPT-한끝-N4-490	文	ぶん	문장	英語の文構造は大抵、主語、動詞、目的語／補語だ。	영어의 문 구조는 대개 주어, 동사, 목적어/보어이다.	In English, a sentence structure is usually Subject Verb Object/Complement.	
JLPT-한끝-N4-521	森	もり	숲	彼は森の中を歩いた。頭上では鳥が楽しくさえずっていた。	그는 숲속을 걸었다. 머리 위에서는 새들이 즐겁게 지저귀고 있었다.	He walked in the forest, with birds singing cheerfully above his head.	
JLPT-한끝-N4-552	喜ぶ	よろこぶ	기뻐하다	彼が大変喜んだことには、彼チームが試合に勝った。	그가 매우 기뻐한 것은 그의 팀이 경기에서 이겼기 때문이다.	To his great joy, his team won the game.	
JLPT-한끝-N5-010	あそぶ	あそぶ	놀다	児童心理学者の中には、親はもっと子供と遊んでやり、考えさせる問題を与えてやるべきだ、と考える人が多い。	아동 심리학자 중에는 부모가 더 아이와 놀아주고 생각하게 하는 문제를 줘야 한다고 생각하는 사람이 많다.	Many child psychologists think that parents should play with their children more often and give them problems to think about.	
JLPT-한끝-N5-041	うすい	うすい	얇다	濃いコーヒーより、うすいコーヒーの方が好きです。	진한 커피보다 연한 커피를 좋아합니다.	I like weak coffee better than strong.	
JLPT-한끝-N5-072	男の人	おとこのひと	남자	男の人が車に撥ねられて、運転手が車で走り去った。	남자가 차에 치였고 운전자가 차로 달아났다.	I saw the man knocked down and the driver driving away.	
JLPT-한끝-N5-103	かぞく	かぞく	가족	私たちの家族もみんな同じ人種からなっているというわけではないのよ。	우리 가족도 모두 같은 인종으로 이루어진 것은 아니야.	Even in our family not all of us are of the same race.	
JLPT-한끝-N5-134	切る	きる	자르다	３．電話をかけても、アナウンス等に従って操作したりせず、すぐに切ること。	3. 전화를 걸어도 방송 등에 따라 조작하거나 하지 말고 즉시 끊는다.	3. If you do phone then hang up immediately, without following any instructions given.	
JLPT-한끝-N5-165	こちらこそ	こちらこそ	저야말로	「はじめまして、ジェイムズさん」「こちらこそ、あなたにお会いできて、こんなに嬉しいことはありません」	"""처음 뵙겠습니다, 제임스 씨"" ""저야말로 당신을 만나서 이렇게 기쁠 수가 없습니다."""	"""How do you do, Mr James?"" ""Fine, thanks for asking. Nice to meet you."""	
JLPT-한끝-N5-196	したい	したい	하고 싶다	彼女はガードレールの強度について、ぜひ意見交換をしたいと望んでいます。	그녀는 가드레일 강도에 대해 꼭 의견을 교환하기를 원합니다.	She would value the opportunity to exchange views on the strength of guard-rails.	
JLPT-한끝-N5-227	スペイン	スペイン	스페인	はじめてスペインに行ったとき、私にとってすべてがわくわくさせるものでした。	처음 스페인에 갔을 때는 모든 것이 나를 설레게 했다.	Everything was exciting to me when I visited Spain for the first time.	
JLPT-한끝-N5-258	たぶん	たぶん	아마	アメリカ人が事件に対して影響力をもっと持っていなかったならば、戦争はたぶん避けられたかも知れない。	미국인이 사건에 대해 영향력을 더 갖지 않았다면 전쟁은 어쩌면 피할 수 있었을지도 모른다.	If the Americans had had less influence on affairs, war might well have been avoided.	
JLPT-한끝-N5-289	ドア	ドア	문, 도어	ドアは私と同じくらいの背の高い男性によって開けられた。	문은 나만큼이나 키가 큰 남자에 의해 열렸다.	The door was opened by a tall man.	
JLPT-한끝-N5-320	二冊	にさつ	2권	最近王室ファミリーについて出された本で二冊が傑出している。	최근 왕실 가족에 관해 출간된 책 가운데 두 권이 특히 뛰어나다.	Two books stand out among the dozens recently published on the Royal Family.	
JLPT-한끝-N5-351	八万円	はちまんえん	8만 엔	そのアルバイトで一ヶ月八万円までは稼げる。	그 아르바이트로 한 달 팔만엔까지는 벌 수 있어.	You can make up to 80,000 yen a month in that part-time job.	
JLPT-한끝-N5-382	百本	ひゃっぽん	100자루	工場では一日に鉛筆を百本検査することになっている。	공장에서는 하루에 연필 백 자루를 검사하게 되어 있다.		
JLPT-한끝-N5-413	窓	まど	창, 창문	私は窓を閉め忘れただけでなく、掃除することも忘れた。	나는 창문을 닫는 것뿐만 아니라 청소하는 것도 잊었다.	Not only did I forget to close the window, but I also forgot to sweep.	
JLPT-한끝-N5-444	ゆうべ	ゆうべ	어젯밤	ゆうべこの町に火事があったが、燃え出した正確な時刻はわからない。	어젯밤 이 마을에 불이 났지만, 불이 나기 시작한 정확한 시각은 알 수 없다.	There was a fire in this city last night. We can't tell the exact time when it broke out.	
JLPT-한끝-N5-475	ワイシャツ	ワイシャツ	와이셔츠	黒いズボンをはき、美しい白いワイシャツをきていました。	검은 바지를 입고, 아름다운 하얀 와이셔츠를 입고 있었어요.	He was wearing black trousers and a beautiful white shirt.	
